X,Y,OBJECTID,currentValueTime,currentValue,Name
-293204.769686181,6697303.4512554,5508,2016/10/10 10:00:00+01,-0.017,Colliters Brook
-285656.259471231,6704915.77537443,5509,2015/09/26 22:15:00+01,0.303,Eastville
-285656.259471231,6704915.77537443,5510,2016/06/11 17:00:00+01,0.573,Eastville
-284252.393763688,6697912.39153731,5511,2015/10/11 14:00:00+01,0.092,Brislington
-284399.352004795,6701468.19484754,5512,2016/06/13 05:00:00+01,0.447,Netham Weir
-285656.259471231,6704915.77537443,5513,2015/10/12 05:15:00+01,0.316,Eastville
-284252.393763688,6697912.39153731,5514,2015/10/15 06:15:00+01,0.09,Brislington
-293204.769686181,6697303.4512554,5515,2016/06/18 10:00:00+01,0.021,Colliters Brook
-284399.352004795,6701468.19484754,5516,2016/08/31 17:00:00+01,0.362,Netham Weir
-284252.393763688,6697912.39153731,5517,2016/09/01 05:00:00+01,0.069,Brislington
-285656.259471231,6704915.77537443,5518,2016/06/19 05:00:00+01,0.436999999999999,Eastville
-287945.67407325,6702017.94952149,5519,2016/06/20 17:00:00+01,0.135,Bristol Harbour Passage Street
-292299.699288219,6699323.02851977,5520,2017/02/13 04:00:00+00,0.968,Ashton Vale
-293204.769686181,6697303.4512554,5521,2017/02/18 04:00:00+00,0.184,Colliters Brook
-284252.393763688,6697912.39153731,5522,2017/02/21 04:00:00+00,0.099,Brislington
-287945.67407325,6702017.94952149,5523,2017/02/22 16:00:00+00,0.069,Bristol Harbour Passage Street
-285656.259471231,6704915.77537443,5524,2017/02/23 04:00:00+00,7.669,Eastville
-284399.352004795,6701468.19484754,5525,2017/02/26 10:45:00+00,0.512,Netham Weir
-284399.352004795,6701468.19484754,5526,2017/02/27 04:00:00+00,0.529,Netham Weir
-284252.393763688,6697912.39153731,5527,2017/02/28 04:00:00+00,0.199,Brislington
-285656.259471231,6704915.77537443,5528,2017/02/28 21:45:00+00,7.887,Eastville
-293204.769686181,6697303.4512554,5529,2017/03/04 16:00:00+00,0.234,Colliters Brook
-292299.699288219,6699323.02851977,5530,2017/03/08 10:00:00+00,0.997,Ashton Vale
-284399.352004795,6701468.19484754,5531,2017/03/11 04:00:00+00,0.546,Netham Weir
-292299.699288219,6699323.02851977,5532,2017/03/11 16:00:00+00,0.962,Ashton Vale
-285656.259471231,6704915.77537443,5533,2017/03/13 04:00:00+00,7.631,Eastville
-284252.393763688,6697912.39153731,5534,2017/03/15 16:00:00+00,0.111,Brislington
-292299.699288219,6699323.02851977,5535,2017/03/21 16:00:00+00,0.991,Ashton Vale
-284399.352004795,6701468.19484754,5536,2017/03/24 22:00:00+00,0.401,Netham Weir
-285656.259471231,6704915.77537443,5537,2017/03/27 22:00:00+01,7.665,Eastville
-285656.259471231,6704915.77537443,5538,2017/04/06 17:00:00+01,7.601,Eastville
-284252.393763688,6697912.39153731,5539,2017/04/11 05:00:00+01,0.078,Brislington
-284399.352004795,6701468.19484754,5540,2017/04/15 05:00:00+01,0.426,Netham Weir
-284399.352004795,6701468.19484754,5541,2017/01/04 07:15:00+00,0.461,Netham Weir
