X,Y,FID,datetime,siteid,tc_cfu,ec_cfu,tc_mpn,ec_mpn,p_ecc_cfu,fs_cfu,temp,ph,cond,do,dopc,phosphate_,salinity,clost_perf,ammonium_n,turb,ammonium_1,nitrite,nitrate,fcoliforms,bod,cod,sussolids,id,sitename,river,total_coli,total_ecol
-288531.5121,6701217.017,8479,2021/01/19 10:50:00+00,d18,4200,1730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11224,Redcliffe Bridge,Floating Harbour,4200,1730
-291293.9654,6700743.108,8480,2021/01/26 10:15:00+00,d1,6700,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11225,Baltic Wharf,Floating Harbour,6700,1970
-289186.4951,6701627.563,8481,2021/01/26 10:10:00+00,d4,9590,3830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11226,St Augustines Reach,Floating Harbour,9590,3830
-288531.5121,6701217.017,8482,2021/01/26 10:00:00+00,d18,6630,2430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11227,Redcliffe Bridge,Floating Harbour,6630,2430
-288457.3322,6701943.483,8483,2021/02/16 11:02:00+00,d9,4350,1350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11237,Bristol Bridge,Floating Harbour,4350,1350
-291293.9654,6700743.108,8484,2021/02/16 10:33:00+00,d1,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.3,0,0.230769231,0,0,0,0,0,0,11249,Baltic Wharf,Floating Harbour,0,0
-288531.5121,6701217.017,8485,2021/02/16 10:57:18+00,d18,0,0,0,0,0,0,5.7,8.09,687,15.51,0,0,0.33,0,0,0,0,0,0,0,0,0,0,11257,Redcliffe Bridge,Floating Harbour,0,0
-288531.5121,6701217.017,8486,2021/03/09 09:25:00+00,d18,2590,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11271,Redcliffe Bridge,Floating Harbour,2590,200
-288531.5121,6701217.017,8487,2021/03/09 10:54:47+00,d18,0,0,0,0,0,0,6.7,7.97,657,16.13,0,0,0.32,0,0,0,0,0,0,0,0,0,0,11284,Redcliffe Bridge,Floating Harbour,0,0
-290295.4778,6701170.247,8488,2021/03/09 10:37:00+00,d2,0,0,0,0,0,0,0,0,0,0,127.4,0,0,0,0,0,0,0,0,0,0,0,0,11291,S.S. Great Britain,Floating Harbour,0,0
-284389.19,6701650.563,8489,2021/03/09 11:22:00+00,d99,0,0,0,0,0,0,0,0,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,11297,Netham Lock,Feeder Canal,0,0
-289036.1314,6701008.409,8490,2021/03/30 11:16:00+01,d5,620,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11305,Prince Street Bridge,Floating Harbour,620,134
-284389.19,6701650.563,8491,2021/04/13 11:09:46+01,d99,0,0,0,0,0,0,8.7,8.33,684,17.86,0,0,0.34,0,0,0,0,0,0,0,0,0,0,11328,Netham Lock,Feeder Canal,0,0
-284389.19,6701650.563,8492,2021/04/13 11:09:00+01,d99,0,0,0,0,0,0,0,0,0,0,153.7,0,0,0,0,0,0,0,0,0,0,0,0,11337,Netham Lock,Feeder Canal,0,0
-288531.5121,6701217.017,8493,2021/05/18 10:15:00+01,d18,3000,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11354,Redcliffe Bridge,Floating Harbour,3000,600
-289036.1314,6701008.409,8494,2021/05/18 10:10:00+01,d5,4000,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11355,Prince Street Bridge,Floating Harbour,4000,500
-288089.3701,6702158.398,8495,2021/05/27 11:10:00+01,d32,2800,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11357,Castle tunnel,Floating Harbour,2800,1200
-288531.5121,6701217.017,8496,2021/05/27 11:00:00+01,d18,2700,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11358,Redcliffe Bridge,Floating Harbour,2700,800
-291293.9654,6700743.108,8497,2021/05/27 10:27:00+01,d1,500,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11363,Baltic Wharf,Floating Harbour,500,100
-289036.1314,6701008.409,8498,2021/06/01 09:45:00+01,d5,1400,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11367,Prince Street Bridge,Floating Harbour,1400,190
-289036.1314,6701008.409,8499,2021/06/08 13:00:00+01,d5,800,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11372,Prince Street Bridge,Floating Harbour,800,90
-289036.1314,6701008.409,8500,2021/06/23 11:16:00+01,d5,1800,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11379,Prince Street Bridge,Floating Harbour,1800,360
-288089.3701,6702158.398,8501,2021/06/22 11:30:00+01,d32,2800,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11383,Castle tunnel,Floating Harbour,2800,600
-288531.5121,6701217.017,8502,2021/06/30 12:17:00+01,d18,11000,2300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11387,Redcliffe Bridge,Floating Harbour,11000,2300
-284389.19,6701650.563,8503,2021/07/20 11:33:00+01,d99,300,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11400,Netham Lock,Feeder Canal,300,210
-289186.4951,6701627.563,8504,2021/08/10 13:45:00+01,d4,1800,460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11415,St Augustines Reach,Floating Harbour,1800,460
-289036.1314,6701008.409,8505,2021/09/15 10:15:00+01,d5,1400,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11442,Prince Street Bridge,Floating Harbour,1400,370
-288531.5121,6701217.017,8506,2021/09/29 10:00:00+01,d18,44000,12000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11456,Redcliffe Bridge,Floating Harbour,44000,12000
-288531.5121,6701217.017,8507,2021/10/19 10:37:00+01,d18,285,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11470,Redcliffe Bridge,Floating Harbour,285,111
-291293.9654,6700743.108,8508,2021/11/02 10:40:00+00,d1,5120,663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11483,Baltic Wharf,Floating Harbour,5120,663
-289186.4951,6701627.563,8509,2021/11/09 10:35:00+00,d4,8390,1950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11485,St Augustines Reach,Floating Harbour,8390,1950
-288457.3322,6701943.483,8510,2021/11/16 09:28:00+00,d9,8570,1550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11493,Bristol Bridge,Floating Harbour,8570,1550
